"wt_0h_a"	"wt_0h_b"	"wt_0h_c"	"wt_2h_a"	"wt_2h_b"	"wt_2h_c"	"wt_4h_a"	"wt_4h_b"	"wt_4h_c"	"wt_8h_a"	"wt_8h_b"	"wt_8h_c"	"wt_10h_a"	"wt_10h_b"	"wt_10h_c"
"B0G102"	26.2755627670632	25.8571486436952	26.0577507901193	25.5664873367042	25.4449487714338	20.674142164438	22.0340639416495	25.1970050902965	24.8659133337449	21.1619036262339	25.4265415642183	21.1713820840691	21.0042154954958	21.3787601360871	21.4968675940821
"B0G104"	24.6098608067365	24.4598635743841	24.5508172277573	24.4748002644187	24.4329682229525	23.939658300348	24.6003616719043	24.301456562658	24.4312709768379	23.5238485852734	23.7188317621812	23.4573455563883	21.0714495967962	21.928450784934	22.9951086139563
"B0G159"	25.4736848193483	25.6879447522041	24.7364590163317	25.652858646092	25.7024435906199	25.6554509090561	25.6204865955393	25.7622057149262	25.6460503948237	25.2674001514934	25.4835714528194	25.5824795729331	25.2891159995361	25.6159850687151	25.5272837610558
"B0G163"	24.1544171708376	23.6515317526349	23.8735171457214	23.355131950253	22.7261453846726	24.12615130506	23.2794977980869	23.6919907337597	24.6021755358463	23.4928739298422	24.1754828510548	23.622162219364	23.4874656896927	23.798091843424	23.6042416941055
"B0G172"	25.2049356314635	24.7037551179712	24.9779819223549	24.7591666008394	24.838822197505	24.831739335433	24.7602732587058	24.6143435377467	24.6949753631326	24.8147714713392	25.066201472791	25.1687842673803	24.7152813657505	24.9828632263498	25.1228236512752
"B0G180"	21.2848720118028	22.8869855347155	23.1680167964059	21.5613494833651	21.7276512798501	21.1694518915369	23.048098514457	22.0836020311802	21.954932518935	23.9538893275316	20.9463426379654	23.2734732160314	22.6653695338949	23.2339135051926	24.0088269523634
"B0G185"	26.0234503154133	20.8725207588017	28.4373602786088	28.5381444152699	27.0876556917282	26.4035542345397	26.7236143905691	21.5695597716788	28.3132084179111	21.0594787220558	26.3400545670524	26.2074163229352	26.4273435064298	26.1037724304025	21.476008322536
"B0G186"	23.3923792696902	22.9048826429314	23.2404689125257	20.8430251947993	21.2446331938786	23.2076427865535	23.1266953365051	21.574509603665	22.8477929589345	23.2857160222009	23.461590604783	23.3811220206477	21.1770417513701	23.3276773548881	23.0240463182449
"B0M0P5"	25.1249066506796	25.0439288364785	25.0797502268664	25.1235879116789	24.9776142845414	24.7957750230189	24.9025813897836	25.0125045982067	25.1593450652942	25.1600933048052	25.0383306075744	24.9552231362304	25.0622610289194	24.8609481888463	24.9004072086516
"B0M0P8"	25.72914450354	21.176873146814	24.7694099109738	25.2479931188073	25.2214524511235	25.0709516998132	24.9993062271828	25.5052518048102	25.6870856437681	25.6795493607095	25.6617090652569	26.4563882579593	25.1613844906148	26.2517203348528	26.0060975537587
