"UniProt_ID"	"GENE_ID"	"Gene_Name"	"Gene_products"	"padj"
"C7G077"	"DDB_G0295799"	"DDB_G0295799"	"unknown"	1e-08
"C7G078"	"DDB_G0295801"	"DDB_G0295801"	"B_lectin domain-containing protein"	1e-08
"P04989"	"DDB_G0279799"	"cprB"	"cysteine proteinase 2"	1e-08
"P08796"	"DDB_G0289073"	"csaA"	"contact site A protein"	1.3e-08
"Q54QT9"	"DDB_G0283611"	"cbpF"	"calcium-binding protein"	2.1e-08
"Q54GQ4"	"DDB_G0289997"	"DDB_G0289997"	""	3.8e-08
"Q54FW5"	"DDB_G0290563"	"cupH"	"ricin B lectin domain-containing protein, cup family protein"	4.5e-08
"Q54QK7"	"DDB_G0283789"	"dimt1l"	"dimethyladenosine transferase"	4.5e-08
"Q556K5"	"DDB_G0273989"	"DDB_G0273989"	"unknown"	4.5e-08
"Q54DH5"	"DDB_G0292248"	"DDB_G0292248"	"unknown"	5.2e-08
"Q54C11"	"DDB_G0293202"	"trafH"	"TNF receptor-associated factor H"	5.4e-08
"Q54DV5"	"DDB_G0292014"	"psiK"	"PA14 domain-containing protein"	5.4e-08
"Q54EB9"	"DDB_G0291646"	"DDB_G0291646"	"unknown"	5.4e-08
"Q54RF4"	"DDB_G0283153"	"cbpD1"	"calcium-binding protein"	5.4e-08
"Q55E15"	"DDB_G0270518"	"DDB_G0270518"	"unknown"	5.9e-08
"Q54QU0"	"DDB_G0283645"	"DDB_G0283645"	"calcium-binding protein, calcium-binding EF-hand domain-containing protein"	7.5e-08
"Q54R93"	"DDB_G0283305"	"DDB_G0283305"	"ERV/ALR sulphydryl oxidase domain-containing protein"	8e-08
"Q54MH2"	"DDB_G0285939"	"ctnnA"	"alpha-catenin related protein"	1.5e-07
"Q54MI7"	"DDB_G0285917"	"DDB_G0285917"	"unknown"	2.4e-07
"Q1ZXD1"	"DDB_G0288745"	"DDB_G0288745"	"unknown"	2.6e-07
"Q54I92"	"DDB_G0288919"	"psiI"	"PA14 domain-containing protein"	2.7e-07
"Q54SS8"	"DDB_G0282247"	"rapgapB"	"RapA GTPase regulatory protein B"	2.7e-07
"Q8IS20"	"DDB_G0282381"	"gefC"	"regulator of chromosome condensation (RCC1) domain-containing protein, RhoGEF domain-containing protein, Ras nucleotide exchange factor"	2.7e-07
"Q06885"	"DDB_G0267398"	"gppA"	"glycoprotein gp100"	3.4e-07
"P0CD60"	"DDB_G0289313"	"frmC"	"FERM domain-containing protein FrmC"	4.2e-07
"Q54P69"	"DDB_G0284759"	"psiM"	"PA14 domain-containing protein"	5e-07
"Q54G71"	"DDB_G0290371"	"DDB_G0290371"	"transmembrane protein"	6.6e-07
"Q869S9"	"DDB_G0274099"	"cbpE"	"calcium-binding protein"	9.5e-07
"Q966T6"	"DDB_G0272568"	"cofC-1"	"cofilin-2"	1.2e-06
"Q54JJ4"	"DDB_G0288013"	"smcl"	"smc-like protein"	1.3e-06
"C7G000"	"DDB_G0277083"	"uduD1"	"N-terminal delta endotoxin domain-containing protein"	1.4e-06
"Q54CS6"	"DDB_G0292768"	"dcd1B"	"acid ceramidase-like protein, acid N-acylsphingosine amidohydrolase-like protein"	1.4e-06
"O76856"	"DDB_G0279411"	"ctsD"	"cathepsin D"	1.8e-06
"P11467"	"DDB_G0290961"	"trafD"	"TNF receptor-associated factor D"	1.8e-06
"P16051"	"DDB_G0276267"	"gpaB"	"G-protein subunit alpha 2"	1.8e-06
"P54653"	"DDB_G0267456"	"cbp2"	"calcium-binding protein 2"	1.8e-06
"Q04503"	"DDB_G0283149"	"cotD"	"spore coat protein SP75"	1.8e-06
"Q54VG7"	"DDB_G0280051"	"DDB_G0280051"	"unknown"	1.8e-06
"Q54YA0"	"DDB_G0278345"	"acly"	"ATP citrate synthase, ATP citrate lyase"	1.8e-06
"Q869V1"	"DDB_G0276973"	"nramp1"	"solute carrier family 11 member 1"	1.8e-06
"Q8T2U1"	"DDB_G0275253"	"DDB_G0275253"	"unknown"	1.8e-06
"Q55F41"	"DDB_G0269040"	"DDB_G0269040"	"IPT/TIG domain-containing protein, EGF-like domain-containing protein, C-type lectin domain-containing protein"	2e-06
"Q54VJ1"	"DDB_G0280307"	"DDB_G0280307"	"beta-lactamase family protein"	2.2e-06
"C7FZX3"	"DDB_G0295761"	"nle1"	"WD40 repeat-containing protein, NLE domain-containing protein, putative notchless"	2.4e-06
"Q54F06"	"DDB_G0291181"	"DDB_G0291181"	""	2.4e-06
"P54670"	"DDB_G0277827"	"cafA"	"calfumirin-1"	2.6e-06
"Q55BW8"	"DDB_G0271074"	"DDB_G0271074"	"unknown"	2.6e-06
"Q54QT8"	"DDB_G0283609"	"cbpG"	"calcium-binding protein"	2.8e-06
"Q9NGP5"	"DDB_G0275689"	"abcG2"	"ABC transporter G family protein"	3e-06
"Q86L18"	"DDB_G0276969"	"D2B"	"type-B carboxylesterase/lipase family protein D2B"	3.3e-06
"Q55CE9"	"DDB_G0270088"	"DDB_G0270088"	""	4.3e-06
"P13773"	"DDB_G0273533"	"carA-2"	"cAMP receptor 1"	4.4e-06
"Q54K41"	"DDB_G0287663"	"DDB_G0287663"	""	4.4e-06
"O76765"	"DDB_G0285845"	"phdA"	"PH domain-containing protein"	4.5e-06
"Q23925"	"DDB_G0280047"	"yelA"	"initiation factor eIF-4 gamma middle domain-containing protein"	4.5e-06
"Q54WE0"	"DDB_G0279713"	"aplK"	"amoebapore-like protein K"	5.5e-06
"Q86I43"	"DDB_G0275161"	"DDB_G0275161"	"unknown"	5.5e-06
"Q54YA2"	"DDB_G0278341"	"DDB_G0278341"	"putative ATP citrate synthase, putative ATP citrate lyase"	5.6e-06
"P34117"	"DDB_G0288677"	"cdk5"	"cyclin-dependent kinase 5"	5.7e-06
"Q54V78"	"DDB_G0280565"	"DDB_G0280565"	"calponin homology (CH) domain-containing protein"	5.7e-06
"Q556T4"	"DDB_G0273105"	"scdB-1"	"delta 9 fatty acid desaturase ScdB"	6e-06
"Q54DL7"	"DDB_G0292188"	"DDB_G0292188"	"unknown"	6.3e-06
"Q54R85"	"DDB_G0283317"	"tgrI2"	"IPT/TIG domain-containing protein, immunoglobulin E-set domain-containing protein"	7e-06
"Q55E34"	"DDB_G0269410"	"DDB_G0269410"	"pyrroline-5-carboxylate reductase, PCA reductase"	7.3e-06
"Q55F29"	"DDB_G0269048"	"DDB_G0269048"	""	7.3e-06
"O97113"	"DDB_G0275439"	"cad2"	"putative adhesion molecule"	7.6e-06
"Q1ZXH5"	"DDB_G0279681"	"DDB_G0279681"	"calcium-binding EF-hand domain-containing protein"	7.6e-06
