"UniProt_ID"	"GENE_ID"	"Gene_Name"	"Gene_products"
"A0A2C9SN78"	"DDB_G0349043"	"DDB_G0349043"	""
"A1XDC0"	"DDB_G0272608"	"stip-1"	"sip1/TFIP11-like interaction protein"
"B0G0Y4"	"DDB_G0268512"	"wrn"	"ATP-dependent DNA helicase RecQ family protein, Werner syndrome protein"
"B0G0Y5"	"DDB_G0268368"	"mybAA"	"myb domain-containing protein"
"B0G0Y7"	"DDB_G0268646"	"DDB_G0268646"	"unknown"
"B0G0Y8"	"DDB_G0268634"	"pde3"	"cGMP-specific phosphodiesterase 3"
"B0G0Y9"	"DDB_G0271062"	"DDB_G0271062"	"FNIP repeat-containing protein"
"B0G0Z0"	"DDB_G0270778"	"DDB_G0270778"	"putative prolyl 4-hydroxylase alpha subunit"
"B0G0Z1"	"DDB_G0270910"	"DDB_G0270910"	"eukaryotic translation initiation factor 4E (eIF-4E) family protein"
"B0G0Z2"	"DDB_G0269944"	"DDB_G0269944"	"unknown"
"B0G0Z3"	"DDB_G0271002"	"DDB_G0271002"	"WD40 repeat-containing protein DDB_G0271002"
"B0G0Z5"	"DDB_G0269616"	"aplG"	"saposin B domain-containing protein"
"B0G0Z6"	"DDB_G0295677"	"mpdu1"	"transmembrane protein, cystinosin/ERS1p repeat-containing protein"
"B0G0Z7"	"DDB_G0294597"	"DDB_G0294597"	"beta-lactamase family protein"
"B0G0Z8"	"DDB_G0295695"	"DDB_G0295695"	"unknown"
"B0G101"	"DDB_G0295667"	"pks35"	"putative polyketide synthase, beta-ketoacyl synthase family protein"
"B0G102"	"DDB_G0271642"	"cks1"	"cyclin-dependent kinases regulatory subunit"
"B0G103"	"DDB_G0271662"	"pks10"	"putative polyketide synthase, beta-ketoacyl synthase family protein"
"B0G104"	"DDB_G0295477"	"nip7"	"60S ribosome subunit biogenesis protein"
"B0G105"	"DDB_G0272082"	"DDB_G0272082"	"SNF2-related domain-containing protein, C3HC4-type zinc finger-containing protein, CHR group protein, helicase, C-terminal domain-containing protein"
"B0G106"	"DDB_G0272418"	"DDB_G0272418"	"thioredoxin fold domain-containing protein"
"B0G107"	"DDB_G0272484"	"DDB_G0272484"	"HD phosphohydrolase domain-containing protein"
"B0G108"	"DDB_G0274237"	"DDB_G0274237"	"DUF614 family protein"
"B0G109"	"DDB_G0274499"	"DDB_G0274499"	"patatin family protein"
"B0G110"	"DDB_G0276245"	"DDB_G0276245"	"acyl-CoA oxidase"
"B0G111"	"DDB_G0294633"	"DDB_G0294633"	"ankyrin repeat-containing protein"
"B0G112"	"DDB_G0277337"	"DDB_G0277337"	"beta-lactamase family protein"
"B0G115"	"DDB_G0278585"	"DDB_G0278585"	"unknown"
"B0G116"	"DDB_G0277969"	"DDB_G0277969"	"NADH:flavin oxidoreductase/NADH oxidase domain-containing protein"
"B0G117"	"DDB_G0278053"	"ilvB"	"thiamine pyrophosphate-binding enzyme family protein, 2-hydroxyphytanoyl-CoA lyase"
"B0G118"	"DDB_G0295679"	"DDB_G0295679"	"helicase superfamily 1 and 2  domain-containing protein, type III restriction enzyme, res subunit family protein"
"B0G119"	"DDB_G0295681"	"DDB_G0295681"	"FKBP-type peptidylprolyl cis-trans isomerase domain-containing protein"
"B0G120"	"DDB_G0295697"	"rabif"	"Mss4-like family protein, Rab guanyl-nucleotide exchange factor"
"B0G121"	"DDB_G0294617"	"DDB_G0294617"	"unknown"
"B0G122"	"DDB_G0278645"	"DDB_G0278645"	"Dictyostelium (slime mold) repeat containing protein"
"B0G124"	"DDB_G0279043"	"DDB_G0279043"	"ankyrin repeat-containing protein"
"B0G125"	"DDB_G0295473"	"DDB_G0295473"	"unknown"
"B0G126"	"DDB_G0279149"	"pip5k3"	"1-phosphatidylinositol-3-phosphate 5-kinase"
"B0G127"	"DDB_G0279169"	"vps39"	"tetratricopeptide-like helical domain-containing protein (TPR), citron-like domain-containing protein"
